1935,The Merchant of Venice,Elizabethan Theatre
1935,Twelfth Night,Elizabethan Theatre
1936,Romeo and Juliet,Elizabethan Theatre
1936,The Merchant of Venice,Elizabethan Theatre
1936,Twelfth Night,Elizabethan Theatre
1937,Romeo and Juliet,Elizabethan Theatre
1937,The Taming of the Shrew,Elizabethan Theatre
1937,Twelfth Night,Elizabethan Theatre
1938,Hamlet,Elizabethan Theatre
1938,The Taming of the Shrew,Elizabethan Theatre
1938,Twelfth Night,Elizabethan Theatre
1938,The Merchant of Venice,Elizabethan Theatre
1939,As You Like It,Elizabethan Theatre
1939,The Taming of the Shrew,Elizabethan Theatre
1939,Hamlet,Elizabethan Theatre
1939,The Comedy of Errors,Elizabethan Theatre
1939,The Taming of the Shrew,Golden Gate International Exposition
1940,As You Like It,Elizabethan Theatre
1940,The Comedy of Errors,Elizabethan Theatre
1940,Much Ado About Nothing,Elizabethan Theatre
1940,The Merry Wives of Windsor,Elizabethan Theatre
1947,Hamlet,Elizabethan Theatre
1947,Love's Labor's Lost,Elizabethan Theatre
1947,Macbeth,Elizabethan Theatre
1947,The Merchant of Venice,Elizabethan Theatre
1948,King John,Elizabethan Theatre
1948,Love's Labor's Lost,Elizabethan Theatre
1948,Othello,Elizabethan Theatre
1948,The Merchant of Venice,Elizabethan Theatre
1949,A Midsummer Night's Dream,Elizabethan Theatre
1949,Othello,Elizabethan Theatre
1949,Richard II,Elizabethan Theatre
1949,Romeo and Juliet,Elizabethan Theatre
1949,The Taming of the Shrew,Elizabethan Theatre
1950,Antony and Cleopatra,Elizabethan Theatre
1950,As You Like It,Elizabethan Theatre
1950,"Henry IV, Part I",Elizabethan Theatre
1950,The Comedy of Errors,Elizabethan Theatre
1951,King Lear,Elizabethan Theatre
1951,Measure for Measure,Elizabethan Theatre
1951,"Henry IV, Part II",Elizabethan Theatre
1951,Twelfth Night,Elizabethan Theatre
1951,Antigone,Lithia Theatre
1951,On Monday Next,Lithia Theatre
