"Donohue, Dan","Mercutio","Romeo and Juliet","Angus Bowmer Theatre",2007
"Donohue, Dan","Henry V","Henry V","Angus Bowmer Theatre",2000
"Donohue, Dan","Hamlet","Hamlet","Angus Bowmer Theatre",2010
"Elmore, Richard","Polonius","Hamlet","Angus Bowmer Theatre",2010
"Seago, Howie","Father's Ghost","Hamlet","Angus Bowmer Theatre",2010
"Silva, Vilma","Rosencrantz","Hamlet","Angus Bowmer Theatre",2010
"Silva, Vilma","Lise","The Magic Fire","Angus Bowmer Theatre",1997
"Park, Jeany","Guildenstern","Hamlet","Angus Bowmer Theatre",2010
"McCallum, Sandy","Jonathan Coffin","The Night of the Iguana","Angus Bowmer Theatre",2000
"Albers, Kenneth","King Lear","King Lear","Elizabethan Theatre",2004
"Hume, Michael J.","Emil","Three Viewings",Black Swan,1996
